"cod","descricao","sigla","tipo","porte","latitude","longitude","coduf","uf","tipotribunal_oj"
"TRT20","Tribunal Regional do Trabalho da 20ª Região","TRT20","Trabalho","Pequeno",-10.57,-37.45,28,"SE","TRIBT"
"TRT21","Tribunal Regional do Trabalho da 21ª Região","TRT21","Trabalho","Pequeno",-5.81,-36.59,24,"RN","TRIBT"
"TRT22","Tribunal Regional do Trabalho da 22ª Região","TRT22","Trabalho","Pequeno",-6.6,-42.28,22,"PI","TRIBT"
"TRT23","Tribunal Regional do Trabalho da 23ª Região","TRT23","Trabalho","Pequeno",-12.64,-55.42,51,"MT","TRIBT"
"TRT24","Tribunal Regional do Trabalho da 24ª Região","TRT24","Trabalho","Pequeno",-20.51,-54.54,50,"MS","TRIBT"
"TRT3","Tribunal Regional do Trabalho da 3ª Região","TRT3","Trabalho","Grande",-18.1,-44.38,31,"MG","TRIBT"
"TRT4","Tribunal Regional do Trabalho da 4ª Região","TRT4","Trabalho","Grande",-30.17,-53.5,43,"RS","TRIBT"
"TRT5","Tribunal Regional do Trabalho da 5ª Região","TRT5","Trabalho","Médio",-13.29,-41.71,29,"BA","TRIBT"
"TRT6","Tribunal Regional do Trabalho da 6ª Região","TRT6","Trabalho","Médio",-8.38,-37.86,26,"PE","TRIBT"
"TRT7","Tribunal Regional do Trabalho da 7ª Região","TRT7","Trabalho","Médio",-5.2,-39.53,23,"CE","TRIBT"
"TRT8","Tribunal Regional do Trabalho da 8ª Região","TRT8","Trabalho","Médio",-3.79,-52.48,15,"PA","TRIBT"
"TRT9","Tribunal Regional do Trabalho da 9ª Região","TRT9","Trabalho","Médio",-24.89,-51.55,41,"PR","TRIBT"
"TSE","Tribunal Superior Eleitoral","TSE","Superior","ND",-15.83,-47.86,53,"DF","TRIBS"
"TST","Tribunal Superior do Trabalho","TST","Superior","ND",-15.83,-47.86,53,"DF","TRIBS"
