DATA,NU_ANO,NU_DIA,NU_SEMESTRE,DS_SEMESTRE,NU_ANO_SEMESTRE,DS_SEMESTRE_ANO,NU_TRIMESTRE,DS_TRIMESTRE,NU_ANO_TRIMESTRE,DS_ANO_TRIMESTRE,NU_MES,DS_MES,DS_MES_SIGLA,NU_ANO_MES,DS_MES_ANO,NU_DIA_SEMANA,DS_DIA_SEMANA,DS_DIA_SEMANA_SIGLA
"11/03/2000,2000,11,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",7,""SABADO"",""SAB"""
"12/03/2000,2000,12,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",1,""DOMINGO"",""DOM"""
"13/03/2000,2000,13,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",2,""SEGUNDA"",""SEG"""
"14/03/2000,2000,14,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",3,""TERCA"",""TER"""
"15/03/2000,2000,15,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",4,""QUARTA"",""QUA"""
"16/03/2000,2000,16,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",5,""QUINTA"",""QUI"""
"17/03/2000,2000,17,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",6,""SEXTA"",""SEX"""
"18/03/2000,2000,18,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",7,""SABADO"",""SAB"""
"19/03/2000,2000,19,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",1,""DOMINGO"",""DOM"""
"20/03/2000,2000,20,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",2,""SEGUNDA"",""SEG"""
"21/03/2000,2000,21,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",3,""TERCA"",""TER"""
"22/03/2000,2000,22,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",4,""QUARTA"",""QUA"""
"23/03/2000,2000,23,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",5,""QUINTA"",""QUI"""
"24/03/2000,2000,24,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",6,""SEXTA"",""SEX"""
"25/03/2000,2000,25,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",7,""SABADO"",""SAB"""
"26/03/2000,2000,26,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",1,""DOMINGO"",""DOM"""
"27/03/2000,2000,27,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",2,""SEGUNDA"",""SEG"""
"28/03/2000,2000,28,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",3,""TERCA"",""TER"""
"29/03/2000,2000,29,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",4,""QUARTA"",""QUA"""
"30/03/2000,2000,30,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",5,""QUINTA"",""QUI"""
"31/03/2000,2000,31,1,""1º Sem."",20001,""S1/2000"",1,""1º Trim."",20001,""T1/2000"",3,""MARCO"",""MAR"",200003,""MAR/2000"",6,""SEXTA"",""SEX"""
"01/04/2000,2000,1,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",7,""SABADO"",""SAB"""
"02/04/2000,2000,2,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",1,""DOMINGO"",""DOM"""
"03/04/2000,2000,3,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",2,""SEGUNDA"",""SEG"""
"04/04/2000,2000,4,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",3,""TERCA"",""TER"""
"05/04/2000,2000,5,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",4,""QUARTA"",""QUA"""
"06/04/2000,2000,6,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",5,""QUINTA"",""QUI"""
"07/04/2000,2000,7,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",6,""SEXTA"",""SEX"""
"08/04/2000,2000,8,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",7,""SABADO"",""SAB"""
"09/04/2000,2000,9,1,""1º Sem."",20001,""S1/2000"",2,""2º Trim."",20002,""T2/2000"",4,""ABRIL"",""ABR"",200004,""ABR/2000"",1,""DOMINGO"",""DOM"""
