cod_orgao_julg;Atuacao_Vara
8533;Geral
8537;Geral
8549;Cível
8550;Cível
8553;Geral
8562;Cível
8566;Cível
8568;Geral
8596;Juizados Cíveis
8601;Geral
8608;Cível
8626;Cível
8644;Execução Fiscal
8648;Execução Fiscal
8652;Execução Fiscal
8657;Execução Fiscal
8661;Execução Fiscal
8671;Geral
8676;Geral
8689;Geral
8694;Geral
8714;Cível
8716;Geral
8732;Geral
8735;Cível
8738;Geral
8745;Cível
8746;Geral
8747;Geral
8838;Cível
12139;Criminal
12923;Criminal
13122;Criminal
13596;Cível
13597;Execução Fiscal
14144;Cível
14145;Cível
14146;Cível
14147;Cível
14148;Cível
14328;Cível
16468;Cível
16814;Criminal
16815;Criminal
16816;Cível
16817;Cível
16818;Cível
16819;Cível
16837;Criminal
16914;Cível
17837;Cível
39;Criminal
43067;Criminal
43142;Cível
43157;Cível
43158;Cível
43159;Cível
43160;Cível
52;Geral
53;Geral
56;Juizados Cíveis
60795;Cível
6549;Cível
6551;Cível
6553;Cível
6558;Cível
6560;Cível
6563;Cível
6564;Cível
6566;Cível
6567;Cível
6571;Cível
6574;Cível
6576;Cível
6579;Cível
6584;Cível
6586;Cível
6590;Cível
6594;Cível
6597;Cível
6600;Cível
6604;Cível
6617;Criminal
6623;Criminal
6625;Criminal
6630;Criminal
6634;Criminal
6635;Geral
6637;Criminal
6639;Geral
6641;Criminal
6643;Criminal
6644;Criminal
6655;Cível
6658;Cível
6660;Criminal
6663;Cível
6672;Cível
6674;Cível
6675;Criminal
6681;Cível
6715;Criminal
6739;Cível
6745;Criminal
6752;Cível
6755;Cível
6756;Cível
6760;Cível
6764;Geral
6767;Cível
6768;Geral
6771;Cível
6772;Cível
6775;Cível
6777;Cível
6778;Cível
67791;Criminal
67794;Cível
6780;Criminal
6782;Criminal
6784;Criminal
67852;Criminal
67853;Cível
67854;Cível
6786;Criminal
6791;Geral
72831;Cível
72832;Cível
76528;Cível
81325;Cível
81390;Cível
81391;Cível
81392;Cível
81638;Fazenda
1045;Geral
1046;Criminal
105;Geral
1161;Cível
1204;Geral
1205;Geral
1206;Juizados Cíveis
1212;Geral
1238;Geral
1242;Execução Fiscal
1244;Geral
1246;Criminal
1248;Geral
1290;Geral
1573;Geral
1609;Juizados Cíveis
1614;Geral
1633;Geral
1641;Geral
1667;Geral
1683;Geral
1690;Geral
1706;Geral
1721;Juizados Cíveis
1733;Geral
1744;Geral
1764;Geral
1798;Geral
1818;Execução Fiscal
1821;Geral
1824;Geral
1882;Criminal
1909;Geral
197;Geral
1977;Geral
1978;Juizados Cíveis
198;Criminal
1982;Geral
2041;Geral
2121;Geral
2135;Geral
2143;Geral
2150;Geral
2153;Geral
2155;Geral
2156;Geral
2158;Geral
2166;Cível
2167;Geral
2168;Geral
2169;Geral
2170;Geral
2326;Cível
2334;Juizados Cíveis
2363;Geral
2474;Cível
2480;Geral
2494;Geral
2495;Cível
2505;Geral
2534;Geral
2535;Criminal
2537;Juizados Cíveis
299;Geral
358;Cível
453;Cível
513;Geral
605;Criminal
689;Geral
715;Geral
78;Criminal
847;Criminal
993;Cível
11381;Cível
11382;Cível
11384;Geral
11385;Cível
11386;Execução Fiscal
11397;Cível
11401;Cível
11403;Cível
11407;Cível
11409;Criminal
11410;Criminal
11413;Cível
11414;Cível
11415;Cível
11423;Criminal
11424;Cível
11427;Criminal
11428;Cível
11437;Cível
11438;Cível
11439;Cível
11440;Cível
11442;Cível
11447;Cível
11448;Cível
11449;Cível
11452;Criminal
11453;Criminal
11455;Criminal
11456;Criminal
11462;Cível
11468;Criminal
11472;Cível
11473;Cível
11474;Cível
11475;Cível
11481;Cível
11482;Cível
11483;Cível
11485;Cível
11486;Criminal
11488;Execução Fiscal
11490;Execução Fiscal
11507;Cível
11518;Cível
11519;Criminal
11520;Criminal
11521;Geral
11524;Criminal
11530;Execução Fiscal
11532;Geral
11537;Cível
11538;Criminal
11539;Cível
11544;Criminal
11546;Geral
11551;Geral
11554;Geral
11576;Cível
11580;Criminal
11591;Cível
11593;Geral
11602;Geral
11615;Geral
11620;Geral
11622;Criminal
11629;Geral
11632;Geral
12571;Execução Fiscal
12715;Geral
13173;Geral
13226;Juizados Cíveis
13304;Fazenda
13307;Cível
13308;Cível
13364;Fazenda
13370;Criminal
13373;Execução Fiscal
13555;Criminal
13578;Cível
13580;Geral
13581;Criminal
13585;Criminal
13602;Criminal
13690;Criminal
13693;Criminal
13704;Criminal
13746;Criminal
13838;Cível
13839;Cível
13840;Cível
14596;Criminal
14602;Criminal
16429;Cível
16431;Cível
16432;Fazenda
16435;Criminal
52651;Criminal
52654;Fazenda
78732;Cível
78733;Cível
78734;Cível
78737;Cível
78739;Cível
78742;Cível
78743;Cível
78745;Cível
78747;Cível
78748;Cível
78751;Criminal
78893;Criminal
79331;Criminal
79337;Criminal
79344;Cível
79346;Cível
79351;Criminal
79353;Criminal
79355;Criminal
79783;Criminal
81441;Criminal
81445;Fazenda
81447;Criminal
81449;Criminal
81457;Criminal
81461;Criminal
81463;Fazenda
81465;Fazenda
11158;Geral
14070;Geral
14072;Criminal
19939;Cível
19942;Cível
19943;Cível
19944;Cível
19945;Cível
19946;Cível
19947;Criminal
19948;Criminal
19949;Criminal
2852;Cível
2868;Cível
2869;Criminal
2872;Geral
2877;Criminal
2879;Geral
2881;Geral
2884;Geral
3199;Geral
3202;Geral
3206;Geral
3208;Geral
3212;Geral
3214;Geral
3218;Trabalho
77702;Cível
10792;Geral
10793;Cível
10798;Cível
10990;Cível
11048;Cível
11053;Cível
11059;Criminal
11135;Cível
11145;Execução Fiscal
11156;Criminal
11224;Criminal
11228;Cível
11314;Criminal
11325;Cível
11356;Cível
11364;Cível
11651;Execução Fiscal
11652;Cível
11659;Criminal
11699;Cível
11709;Cível
11849;Geral
12569;Criminal
12699;Cível
12702;Cível
12704;Cível
12763;Criminal
12921;Criminal
13011;Geral
13099;Criminal
13100;Criminal
13193;Execução Fiscal
13351;Criminal
13354;Execução Fiscal
13375;Cível
13573;Criminal
14138;Criminal
15644;Fazenda
15648;Criminal
16546;Criminal
17283;Juizados Cíveis
17284;Juizados Cíveis
17289;Juizados Cíveis
17292;Juizados Cíveis
17293;Juizados Cíveis
17294;Juizados Cíveis
17296;Cível
17297;Cível
17309;Cível
17310;Cível
17955;Cível
17957;Criminal
3080;Cível
3115;Geral
3186;Cível
3262;Geral
3297;Geral
3335;Criminal
34853;Cível
3668;Geral
3676;Geral
3682;Geral
3688;Geral
3694;Geral
3701;Geral
3710;Geral
3744;Geral
3750;Criminal
3753;Cível
3756;Geral
3761;Geral
3764;Geral
3765;Geral
3767;Geral
3772;Geral
3775;Geral
3778;Geral
3782;Geral
3784;Geral
3786;Geral
3792;Geral
3796;Geral
3799;Cível
3804;Criminal
3808;Geral
3809;Geral
3813;Cível
3816;Geral
3828;Cível
3830;Geral
3833;Cível
3836;Criminal
3838;Cível
3840;Geral
3842;Geral
3847;Geral
3851;Geral
3852;Cível
3859;Cível
3862;Cível
3865;Geral
3868;Cível
3879;Cível
3883;Geral
3885;Cível
3889;Criminal
3894;Geral
3895;Criminal
3896;Cível
3897;Geral
3903;Cível
3910;Geral
3916;Geral
3917;Cível
3919;Criminal
3920;Geral
3922;Cível
3924;Geral
3926;Criminal
3929;Cível
3933;Cível
3936;Criminal
3938;Criminal
3943;Cível
3944;Geral
3946;Cível
3962;Geral
3976;Geral
3977;Geral
3986;Geral
3990;Criminal
3991;Cível
39914;Cível
3993;Geral
39982;Cível
39984;Execução Fiscal
39985;Execução Fiscal
4001;Cível
40011;Cível
40024;Cível
40063;Cível
4009;Cível
40102;Cível
4012;Cível
40132;Juizados Cíveis
4017;Criminal
4018;Geral
4022;Geral
4025;Cível
4026;Cível
