MOVIMENTO;NATUREZA;GRAU;RELEVANCIA;FASE;
175 - Homologação - Prisão em flagrante ;;;0;;
190 - Decisão - Reforma de decisão anterior ;;;0;;
193 - Magistrado - Julgamento ;GERAL;;1;;ENCERRA QUALQUER FASE
196 - Com Resolução do Mérito - Extinção da execução ou do cumprimento da sentença ;CIVEL / EXECUTIVOS;;1;F3 - CUMPRIMENTO DE SENTENÇA;ENCERRA F3
198 - Com Resolução do Mérito - Acolhimento de Embargos de Declaração ;;;0;;
200 - Com Resolução do Mérito - Não- Acolhimento de Embargos de Declaração ;;;0;;
202 - Com Resolução do Mérito - Decretação de falência ;CIVEL PURO;;1;F1 - CONHECIMENTO;
206 - Decisão - Admissão ;;;0;;RAIZ
207 - Decisão - Não-Admissão ;;;0;;RAIZ
210 - Com Resolução do Mérito - Concessão ;;;0;;
214 - Com Resolução do Mérito - Concessão em Parte ;;;0;;
218 - Julgamento - Sem Resolução de Mérito ;GERAL;;1;F1 - CONHECIMENTO;ENCERRA
219 - Com Resolução do Mérito - Procedência ;GERAL;;1;F1 - CONHECIMENTO;ENCERRA
22 - Distribuidor - Baixa Definitiva ;;;1;;ENCERRA QUALQUER FASE
220 - Com Resolução do Mérito - Improcedência ;GERAL;;1;F1 - CONHECIMENTO;ENCERRA
221 - Com Resolução do Mérito - Procedência em Parte ;GERAL;;1;F1 - CONHECIMENTO;ENCERRA
228 - Sem Resolução de Mérito - Arquivamento ;GERAL;;1;;ENCERRA QUALQUER FASE
230 - Sem Resolução de Mérito - Recurso prejudicado ;GERAL;2G;1;F2 - RECURSO;ENCERRA
235 - Sem Resolução de Mérito - Não Conhecimento de recurso ;GERAL;2G;1;F2 - RECURSO;ENCERRA
236 - Sem Resolução de Mérito - Negação de Seguimento ;GERAL;2G;1;F2 - RECURSO;ENCERRA
237 - Com Resolução do Mérito - Provimento ;GERAL;2G;1;F2 - RECURSO;ENCERRA
238 - Com Resolução do Mérito - Provimento em Parte ;GERAL;2G;1;F2 - RECURSO;ENCERRA
239 - Com Resolução do Mérito - Não- Provimento ;GERAL;2G;1;F2 - RECURSO;ENCERRA
240 - Com Resolução do Mérito - Conhecimento em Parte e Provimento ;GERAL;2G;1;F2 - RECURSO;ENCERRA
241 - Com Resolução do Mérito - Conhecimento em Parte e Provimento em Parte ;GERAL;2G;1;F2 - RECURSO;ENCERRA
242 - Com Resolução do Mérito - Conhecimento em Parte e Não-Provimento ;GERAL;2G;1;F2 - RECURSO;ENCERRA
244 - Sem Resolução de Mérito - Conversão de Agravo de Instrumento em Agravo Retido ;GERAL;2G;1;F2 - RECURSO;ENCERRA
245 - Arquivamento - Provisório ;GERAL;;;;ENCERRA QUALQUER FASE
246 - Arquivamento - Definitivo ;GERAL;;;;ENCERRA QUALQUER FASE
25 - Decisão - Suspensão ou Sobrestamento ;;;0;;
26 - Distribuidor - Distribuição ;GERAL;1G;1;F1 - CONHECIMENTO;INICIA F1
263 - Suspensão ou Sobrestamento - Réu revel citado por edital ;;;0;;
264 - Suspensão ou Sobrestamento - Suspensão Condicional do Processo ;;;0;;
265 - Suspensão ou Sobrestamento - Recurso Extraordinário com repercussão geral ;;;0;;
266 - Conversão - Julgamento em Diligência ;;;0;;
268 - Suspensão ou Sobrestamento - Morte ou perda da capacidade ;;;0;;
269 - Declaração - Impedimento ou Suspeição ;;;0;;
270 - Suspensão ou Sobrestamento - Convenção das Partes ;;;0;;
271 - Suspensão ou Sobrestamento - Exceção de Incompetência, suspeição ou Impedimento ;;;0;;
272 - Suspensão ou Sobrestamento - A depender do julgamento de outra causa, de outro juízo ou declaração incidente ;;;0;;
275 - Suspensão ou Sobrestamento - Força maior ;;;0;;
276 - Suspensão ou Sobrestamento - Execução frustrada ;;;0;;
277 - Suspensão ou Sobrestamento - Convenção das Partes para Cumprimento Voluntário da obrigação ;;;0;;
278 - Suspensão ou Sobrestamento - Recebimento de Embargos à Execução ;;;0;;
279 - Suspensão ou Sobrestamento - Incidente de Insanidade Mental ;;;0;;
311 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Leilão ou Praça ;CIVEL;1G;1;F3 - CUMPRIMENTO DE SENTENÇA;
313 - Escrivão/Diretor de Secretaria/ Secretário Jurídico - Sessão do Tribunal do Júri ;CRIMINAL;1G;1;F1 - CONHECIMENTO;ENCERRA
332 - Concessão - Antecipação de tutela ;;;0;;
334 - Não-Concessão - Assistência judiciária gratuita ;;;0;;
335 - Acolhimento de exceção - de pré- executividade ;;;0;;
339 - Concessão - Liminar ;;;0;;
347 - Revogação - Antecipação de Tutela ;;;0;;
348 - Revogação - Liminar ;;;0;;
349 - Revogação - Assistência Judiciária Gratuita ;;;0;;
352 - Decretação de Prisão Criminal - Temporária ;;;0;;
353 - Decretação de Prisão Criminal - Preventiva ;;;0;;
