"classeProcessual","codigoLocalidade","orgaoJulgador_codigoOrgao","assunto_codigoNacional","codigo_ultima_movimentacao","mes_ajuizamento","alvo_processos_demorados","G1","G2","JE","TR","CRIMINAL","CIVIL","JUIZADOS","EXECUTIVOS","OUTROS","PEQUENO","MÉDIO","GRANDE"
40,1302603,4789,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4794,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4794,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4787,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4796,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4787,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4797,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4787,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4780,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4794,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4794,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4780,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4780,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4787,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4787,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4797,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4780,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4787,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4799,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
40,1302603,4780,7703,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
65,1302603,4438,10064,22,4,"DEMORADO",1,0,0,0,0,1,0,0,0,1,0,0
81,1302603,4795,10481,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
81,1302603,4798,9582,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
81,1302603,4799,9582,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
111,1302603,4797,7681,22,4,"DEMORADO",1,0,0,0,0,1,0,0,0,1,0,0
111,1302603,4797,7681,22,4,"DEMORADO",1,0,0,0,0,1,0,0,0,1,0,0
120,1302603,4798,9196,22,3,"NORMAL",1,0,0,0,0,1,0,0,0,1,0,0
